osmid,name,amenity,city,district,street,housenumber,lat,lon
w171546046,д/с №420,kindergarten,Минск,Ленинский район,,,w171546046,53.8696077430904
w93265828,д/с №227,kindergarten,Минск,Партизанский район,,,w93265828,53.8866588489555
n737754564,,pharmacy,Минск,Советский район,,,n737754564,53.9323168
n2621402747,,cafe,Минск,Фрунзенский район,,,n2621402747,53.8832252
w81634426,д/с №281,kindergarten,Минск,Фрунзенский район,,,w81634426,53.8821734992366
w98291716,д/с №399,kindergarten,Минск,Фрунзенский район,,,w98291716,53.9021991425
n3098540643,,pharmacy,Минск,Московский район,,,n3098540643,53.8494079
w379355305,Музыкальная школа №18,school,Минск,Ленинский район,,,w379355305,53.8879677767612
n305682964,Зелёный Лист,pharmacy,Минск,Центральный район,,,n305682964,53.923
n3080541353,Бьютифарм,pharmacy,Минск,Фрунзенский район,улица Бирюзова,10А,n3080541353,53.9128531
w25390580,Минский государственный механико-технологический профессионально-технический колледж,university,Минск,Октябрьский район,улица Казинца,8,w25390580,53.8646078146478
n326164663,Столовая №225 БГУИР,fast_food,Минск,Советский район,улица Леонида Беды,4,n326164663,53.9304157
n1870460826,СТОЛОВАЯ N 190,cafe,Минск,Первомайский район,,,n1870460826,53.9090415
n3701051396,,cafe,Минск,Партизанский район,,,n3701051396,53.9058804
n305682754,д/с №1,kindergarten,Минск,Октябрьский район,,,n305682754,53.8914763
w371266088,Школа-интернат №10,school,Минск,Заводской район,,,w371266088,53.8572457321745
n1595405247,Планета здоровья,pharmacy,Минск,Ленинский район,улица Якубова,58,n1595405247,53.8619898
w391059842,Belvedere,restaurant,Минск,Центральный район,,,w391059842,53.9270379245281
n3951757398,С легким паром,cafe,Минск,Фрунзенский район,,,n3951757398,53.8871254
n3476098375,,cafe,Минск,Октябрьский район,,,n3476098375,53.8444588
w25387720,38-я городская поликлиника,hospital,Минск,Октябрьский район,улица Воронянского,50 к1,w25387720,53.8770467021795
n305686673,Меджел,pharmacy,Минск,Партизанский район,,,n305686673,53.8953798
n1366689206,Дом папочки,cafe,Минск,Московский район,,,n1366689206,53.8938255
n2593635880,Espresso Coffe,cafe,Минск,Октябрьский район,Бобруйская улица,6,n2593635880,53.8904107
w341667987,РНПЦ неврологии и нейрохирургии,hospital,Минск,Партизанский район,,,w341667987,53.923029965385
w77346478,,hospital,Минск,Октябрьский район,,,w77346478,53.8515438532593
n455006632,Миг,cafe,Минск,Ленинский район,,,n455006632,53.8848552
n3143415750,Танго,cafe,Минск,Первомайский район,,,n3143415750,53.9322338
n390421910,Неман,cafe,Минск,Партизанский район,,,n390421910,53.8794268
n3206003058,Искамед №31,pharmacy,Минск,Фрунзенский район,,,n3206003058,53.9116171
n917486490,Древняя легенда,cafe,Минск,Октябрьский район,,,n917486490,53.8731105
w82621653,д/с №353,kindergarten,Минск,Ленинский район,,,w82621653,53.8620420700413
w408943539,Российский государственный социальный университет,university,Минск,Заводской район,,,w408943539,53.8744682622523
n1841687563,ENZO,cafe,Минск,Ленинский район,,,n1841687563,53.8902162
n3092887836,Белфармация А РУП Аптека №25,pharmacy,Минск,Партизанский район,улица Щербакова,1,n3092887836,53.8825441
w78392852,д/с №430,kindergarten,Минск,Московский район,,,w78392852,53.8635681959119
n3877701165,Медвакс №6,pharmacy,Минск,Ленинский район,,,n3877701165,53.900415
n4335440089,Surf Coffee,cafe,Минск,Ленинский район,,,n4335440089,53.8971401
w281553162,СШ №185,school,Минск,Фрунзенский район,,,w281553162,53.9094001967548
n3946284719,ГородОк,cafe,Минск,Московский район,,,n3946284719,53.8748377
n305681079,Подвир'е,cafe,Минск,Центральный район,,,n305681079,53.9240074
n2559459898,,pharmacy,Минск,Московский район,,,n2559459898,53.8432927
w168500959,д/с №403,kindergarten,Минск,Ленинский район,,,w168500959,53.8561396757975
w358563154,д/с №294,kindergarten,Минск,Фрунзенский район,,,w358563154,53.9142448847818
w330496832,д/с №306,kindergarten,Минск,Советский район,,,w330496832,53.9254276946
n3207757442,McDonald's,fast_food,Минск,Центральный район,,,n3207757442,53.902323
n4269775294,Аптека,pharmacy,Минск,Ленинский район,,,n4269775294,53.8640935
n305676071,П-Ка Дет.№4,hospital,Минск,Центральный район,,,n305676071,53.9339
w352037533,СШ №99,school,Минск,Фрунзенский район,,,w352037533,53.9024085662507
n1118945791,Кафе Гараж (Café Garage),restaurant,Минск,Октябрьский район,,,n1118945791,53.8843024
n4164466589,26,cafe,Минск,Октябрьский район,улица Свердлова,26,n4164466589,53.8924338
n305685608,Калабрия,cafe,Минск,Первомайский район,,,n305685608,53.94321
w25319075,Экспедиция,restaurant,Минск,Партизанский район,Парниковая улица,50,w25319075,53.9164169608148
n2628639101,Аптека N12,pharmacy,Минск,Советский район,улица Веры Хоружей,19,n2628639101,53.9205057
n280032443,"Детский кафетерий ""Сказочный мир""",cafe,Минск,Фрунзенский район,,,n280032443,53.8819193
n2622446556,Столовая,fast_food,Минск,Ленинский район,,,n2622446556,53.8921644
n2605794211,"Блинная ""Масленица""",fast_food,Минск,Фрунзенский район,,,n2605794211,53.9098251
n3654159990,Столовая,fast_food,Минск,Советский район,,,n3654159990,53.9331158
n305678577,№97,pharmacy,Минск,Октябрьский район,,,n305678577,53.8798619
w292733727,д/с №222,kindergarten,Минск,Фрунзенский район,,,w292733727,53.9210262110851
w332099404,д/с №416,kindergarten,Минск,Советский район,,,w332099404,53.9182535499407
n305681889,Я ж тебе говорил!,cafe,Минск,Ленинский район,,,n305681889,53.894053
n4313224247,4 угла,cafe,Минск,Центральный район,проспект Машерова,1,n4313224247,53.9107411
n1870460841,Coffee House,cafe,Минск,Первомайский район,,,n1870460841,53.9228747
n281729007,Минский государственный художественный колледж имени А.К. Глебова,college,Минск,Первомайский район,,,n281729007,53.9126265
n604715848,Кафетерий,cafe,Минск,Заводской район,,,n604715848,53.8648014
n3142299278,Поместье,cafe,Минск,Ленинский район,,,n3142299278,53.8717388
w234882375,,kindergarten,Минск,Заводской район,,,w234882375,53.8379436334476
n3835411612,,cafe,Минск,Центральный район,,,n3835411612,53.9153357
n4269861222,Dominos,restaurant,Минск,Заводской район,,,n4269861222,53.8839786
w172541388,д/с №470,kindergarten,Минск,Октябрьский район,,,w172541388,53.8526942708774
w232373982,д/с №321,kindergarten,Минск,Советский район,,,w232373982,53.9250253010074
n3799074711,,cafe,Минск,Ленинский район,,,n3799074711,53.87219
w131113434,Детский городок Лен.района,kindergarten,Минск,Ленинский район,,,w131113434,53.8648824308206
w341164005,д/с №383,kindergarten,Минск,Первомайский район,,,w341164005,53.9551317995481
n1141268709,,pharmacy,Минск,Московский район,,,n1141268709,53.8628221
w332099411,д/с №553,kindergarten,Минск,Первомайский район,,,w332099411,53.9230230135094
w342694007,СШ №25,school,Минск,Заводской район,,,w342694007,53.8680125045014
n1011755785,,pharmacy,Минск,Московский район,,,n1011755785,53.8872096
n297201435,,pharmacy,Минск,Ленинский район,улица Маяковского,22 к1,n297201435,53.8770555
n3739036901,Papa John’s,cafe,Минск,Центральный район,,,n3739036901,53.9324696
